year,proportion
1887,0
1888,0
1889,0
1891,0
1893,0.6666666666666667
1894,0.8636363636363636
1895,0.9189189189189189
1903,0.6538461538461539
1907,0.8888888888888888
1908,0.9567901234567902
1909,0.9757575757575758
1910,0.9461077844311377
1911,0.9203539823008849
1912,0.9732620320855615
1913,0.9834254143646409
1914,0.9726775956284154
1915,1
1916,0.9567901234567902
1917,0.972027972027972
1919,0.9848484848484849
1920,0.9453125
1921,0.9824561403508772
1922,0.9658119658119658
1923,1
1926,0.9354838709677419
