year,type,n,proportion
1874,cyanidation,1,0.05555555555555555
1877,cyanidation,2,0.15384615384615385
1878,cyanidation,5,0.5555555555555556
1879,cyanidation,3,0.75
1880,cyanidation,4,0.4
1881,cyanidation,2,0.2222222222222222
1882,cyanidation,1,0.045454545454545456
1883,cyanidation,4,0.2
1884,cyanidation,1,0.047619047619047616
1886,cyanidation,1,0.16666666666666666
1888,cyanidation,1,0.16666666666666666
1889,cyanidation,5,0.45454545454545453
1890,cyanidation,12,0.48
1891,cyanidation,12,0.46153846153846156
1892,cyanidation,25,0.6578947368421053
1893,cyanidation,19,0.5135135135135135
1894,cyanidation,46,0.8846153846153846
1895,cyanidation,29,0.5686274509803921
1896,cyanidation,32,0.7441860465116279
1897,cyanidation,18,0.5454545454545454
1898,cyanidation,17,0.40476190476190477
1899,cyanidation,18,0.6666666666666666
1900,cyanidation,16,0.5925925925925926
1901,cyanidation,11,0.4074074074074074
1902,cyanidation,8,0.42105263157894735
1903,cyanidation,38,0.76
1904,cyanidation,62,0.8857142857142857
1905,cyanidation,73,0.9358974358974359
1906,cyanidation,32,0.8648648648648649
1907,cyanidation,18,1
1908,cyanidation,61,0.8472222222222222
1909,cyanidation,40,0.7142857142857143
1910,cyanidation,56,0.9032258064516129
1911,cyanidation,73,0.8390804597701149
1912,cyanidation,95,0.8962264150943396
1913,cyanidation,101,0.9351851851851852
1914,cyanidation,19,0.7916666666666666
1915,cyanidation,24,0.8571428571428571
1916,cyanidation,13,0.65
1917,cyanidation,17,0.85
1918,cyanidation,46,0.7540983606557377
1919,cyanidation,23,0.8518518518518519
1920,cyanidation,19,0.7037037037037037
1921,cyanidation,18,0.9
1922,cyanidation,34,0.85
1923,cyanidation,51,0.9272727272727272
