year,type,n,proportion
1884,flotation,1,0.05263157894736842
1886,flotation,1,0.058823529411764705
1888,flotation,1,0.07692307692307693
1889,flotation,1,0.07142857142857142
1891,flotation,1,0.03225806451612903
1893,flotation,2,0.07692307692307693
1894,flotation,4,0.13333333333333333
1895,flotation,3,0.08571428571428572
1896,flotation,6,0.20689655172413793
1897,flotation,13,0.28888888888888886
1898,flotation,11,0.18032786885245902
1899,flotation,36,0.4864864864864865
1900,flotation,31,0.3780487804878049
1901,flotation,18,0.2857142857142857
1902,flotation,19,0.2714285714285714
1903,flotation,17,0.21794871794871795
1904,flotation,21,0.24705882352941178
1905,flotation,19,0.34545454545454546
1906,flotation,21,0.4117647058823529
1907,flotation,9,0.2571428571428571
1908,flotation,20,0.3448275862068966
1909,flotation,24,0.3870967741935484
1910,flotation,25,0.390625
1911,flotation,36,0.45
1912,flotation,50,0.5747126436781609
1913,flotation,50,0.6329113924050633
1914,flotation,21,0.8076923076923077
1915,flotation,104,0.859504132231405
1916,flotation,183,0.8883495145631068
1917,flotation,142,0.9044585987261147
1918,flotation,156,0.9176470588235294
1919,flotation,150,0.8771929824561403
1920,flotation,169,0.8894736842105263
1921,flotation,112,0.8682170542635659
1922,flotation,167,0.8978494623655914
1923,flotation,90,0.8181818181818182
