id,year,company,text,loc,lon,lat,role,simpname,firstname,country,org,capital,technology,text2,mult,techno
myb992,1887,Anita Mines Limited,"and the metals extracted by the modern system of amalgamation, give large profits.",lima,-77.042754,-12.0463731,NA,NA,NA,peru,Anita Mines Limited,97040.27,amalgama,"and the metals extracted by the modern system of amalgamation, give large profits.",1,amalgamation
myb1279,1887,Arizona Copper Company,The most important item of the expenditure at the works is the outlay on the concentration,arizona,-111.0937311,34.0489281,NA,NA,NA,united states of america,Arizona Copper Company,NA,gravity,The most important item of the expenditure at the works is the outlay on the concentration,1,concentratio
myb2443,1887,Bonnie Dundee Gold Mines Limited,"including stores, firewood, and quicksilver at the mill, of the estimated value of �2,000 , has",marshall,-95.774913,36.0674332,NA,NA,NA,united states of america,Bonnie Dundee Gold Mines Limited,97040.27,amalgama,"including stores, firewood, and quicksilver at the mill, of the estimated value of �2,000, has",1,quicksilver
myb15196,1887,Nevada Consolidated Copper Company,"50 tons per day, giving 2 tons of concentrations, worth according to Mr. Hofmann, $501 per ton,",colorado,-105.7820674,39.5500507,NA,NA,NA,united states of america,Nevada Consolidated Copper Company,NA,gravity,"50 tons per day, giving 2 tons of concentrations, worth according to Mr. Hofmann, $501 per ton,",1,concentratio
myb23759,1887,Transvaal Mines Development Association Limited,"the consequent difficulty of treating them by the ordinary process of amalgamation, it will add",transvaal,-81.1830974,43.2325617,NA,NA,NA,canada,Transvaal Mines Development Association Limited,NA,amalgama,"the consequent difficulty of treating them by the ordinary process of amalgamation, it will add",1,amalgamation
myb24898,1887,Wassau Gold Coast Mining Company,"1885 ; this is attributable to Mr. Crocker s process of concentration, and not to falling off in",london,-0.1277583,51.5073509,NA,NA,NA,united kingdom,Wassau Gold Coast Mining Company,243190.7,gravity,"1885 ; this is attributable to Mr. Crocker s process of concentration, and not to falling off in",NA,concentratio
myb53967,1888,Elandsfontein Estate Company,"Clement William Taucrcd, director Queensland Quicksilver Estates, Limited.",queensland,142.7027956,-20.9175738,NA,NA,NA,australia,Elandsfontein Estate Company,NA,amalgama,"Clement William Taucrcd, director Queensland Quicksilver Estates, Limited.",1,quicksilver
myb55674,1888,London And South African Exploration,"former holders. Amalgamation proceeded rapidly, 940 claims changing hands in Dutoitspan",london,-0.1277583,51.5073509,NA,NA,NA,united kingdom,London And South African Exploration,243546,amalgama,"former holders. Amalgamation proceeded rapidly,940 claims changing hands in Dutoitspan",1,amalgamation
myb57524,1888,South African Mineral Association Limited,"Amalgamation. There cannot, however, l e any doubt that the best arrangement for all",bishopsgate street within,-1.9152702,52.4736697,NA,NA,NA,united kingdom,South African Mineral Association Limited,48709.21,amalgama,"Amalgamation. There cannot, however, l e any doubt that the best arrangement for all",1,amalgamation
myb85746,1889,Klerksdorp Gold Mining Company,"amalgamation in 18H8, making in all 78 claims.",ebden street kimberley,24.7499112,-28.7282384,NA,NA,NA,south africa,Klerksdorp Gold Mining Company,146056.5,amalgama,"amalgamation in 18H8, making in all 78 claims.",NA,amalgamation
myb88769,1889,Oudtshoorn Gold Mining Company,authorised to carry on the business pending the reflotation of the company. A,sydney,151.2092955,-33.8688197,NA,NA,NA,australia,Oudtshoorn Gold Mining Company,NA,flotation,authorised to carry on the business pending the reflotation of the company. A,NA,flotatio
myb92897,1889,Wingfield Manor Colliery Company,"Only �55 Ins been paid for flotation expenses. �101 10h for n valuable watcr-riffht, �100 10s",NA,NA,NA,NA,NA,NA,NA,Wingfield Manor Colliery Company,34079.84,flotation,"Only �55 Ins been paid for flotation expenses. �101 10h for n valuable watcr-riffht, �100 105",NA,flotatio
myb97983,1891,Colombian Quartz Mining Company,"rights, thus securing an ample supply of water for concentration of ores and all mining",somerset,-2.9262307,51.105097,NA,NA,NA,united kingdom,Colombian Quartz Mining Company,14282.94,gravity,"rights, thus securing an ample supply of water for concentration of ores and all mining",1,concentratio
myb105506,1891,Minerals Separation American Syndicate Limited,"of certain explorations of quicksilver mines and quicksilver-bearing lands, made",italy,12.56738,41.87194,NA,NA,NA,italy,Minerals Separation American Syndicate Limited,NA,amalgama,"of certain explorations of quicksilver mines and quicksilver-bearing lands, made",1,quicksilver
myb123275,1891,Nooitgedacht Gold Mining Company,"they engaged Mr. Eissler, who recommended the erection of Frue Vanners for concentration,",england,-1.1743197,52.3555177,NA,NA,NA,united kingdom,Nooitgedacht Gold Mining Company,778210.1,gravity,"they engaged Mr. Eissler, who recommended the erection of Frue Vanners for concentration,",1,concentratio
myb110350,1891,Persian Bank Mining Rights Corporation,"mercury, coal, petroleum, manganese, borax, and aBbeatos amianthus mines belonging to the",london,-0.1277583,51.5073509,NA,NA,NA,united kingdom,Persian Bank Mining Rights Corporation,4193322,amalgama,"mercury, coal, petroleum, manganese, borax, and aBbeatos amianthus mines belonging to the",NA,mercury
myb112337,1891,San Luis Gold And Silver Mines,"Praser and Chalmers balance, �627 10s. ; Messrs. F. Barnes and Co., quicksilver, 4c,",hudson,-73.790959,42.2528649,NA,NA,NA,united states of america,San Luis Gold And Silver Mines,NA,amalgama,"Praser and Chalmers balance, �627 105. ; Messrs. F. Barnes and Co., quicksilver, 4c,",1,quicksilver
myb127081,1891,Wemmer Ferreira And Worcester Deep,A scheme for the re-flotation of the company is in progress.,worcester,-71.8022934,42.2625932,NA,NA,NA,united states of america,Wemmer Ferreira And Worcester Deep,NA,flotation,A scheme for the re-flotation of the company is in progress.,1,flotatio
myb129221,1893,Australian Gold Recovery Company,"Forrest Cyanide Process , for extracting gold from refractory and other ores, and",wales,-3.7837117,52.1306607,NA,NA,NA,united kingdom,Australian Gold Recovery Company,NA,cyanid,"Forrest Cyanide Process , for extracting gold from refractory and other ores, and",1,cyanid
myb131115,1893,Canadian Phosphate Company,the flotation of any properties. A very Bmall expenditure has l een made during the past,british columbia,-127.6476205,53.7266683,NA,NA,NA,canada,Canadian Phosphate Company,NA,flotation,the flotation of any properties. A very Bmall expenditure has l een made during the past,1,flotatio
myb132617,1893,Cyanide Gold Recovery Syndicate Limited,"CYANIDE GOLD RECOVERY SYNDICATE, LIMITED.",winchester,-121.9510491,37.3183318,NA,NA,NA,united states of america,Cyanide Gold Recovery Syndicate Limited,NA,cyanid,"CYANIDE GOLD RECOVERY SYNDICATE, LIMITED.",NA,cyanid
myb153169,1893,Henbt Notjbse Gold,Twenty stamps are now at work. The erection of cyanide works for the,johannesburg,28.04731,-26.2041,NA,NA,NA,south africa,Henbt Notjbse Gold,NA,cyanid,Twenty stamps are now at work. The erection of cyanide works for the,NA,cyanid
myb138777,1893,Minerals Separation American Syndicate Limited,"of certain explorations of quicksilver mines and quicksilver-bearing lands, made",italy,12.56738,41.87194,NA,NA,NA,italy,Minerals Separation American Syndicate Limited,NA,amalgama,"of certain explorations of quicksilver mines and quicksilver-bearing lands, made",1,quicksilver
myb142356,1893,Ore Dressing And Gold Extraction,of working and using in New Zealand the Luhrig system of concentration.,new zealand,174.886,-40.90056,NA,NA,NA,NA,Ore Dressing And Gold Extraction,486381.3,gravity,of working and using in New Zealand the Luhrig system of concentration.,1,concentratio
myb142386,1893,Ore Dressing And Gold Extraction,connection with the classification and concentration system a considerable addition to the,australia,133.7751,-25.2744,NA,NA,NA,australia,Ore Dressing And Gold Extraction,486381.3,gravity,connection with the classification and concentration system a considerable addition to the,1,concentratio
myb142820,1893,Pahang Kabang Limited,"amalgamation, and further increased to its present amount by resolution passed",london,-0.1277583,51.50735,NA,NA,NA,united kingdom,Pahang Kabang Limited,972762.6,amalgama,"amalgamation, and further increased to its present amount by resolution passed",1,amalgamation
myb157545,1893,Salisbury Gold Mining Company,"tho McArthur-Forrcst cyanide process, and tho necessary plans arc being prepared. Tarwork",salisbury,-75.59937,38.36067,NA,NA,NA,united states of america,Salisbury Gold Mining Company,NA,cyanid,"tho McArthur-Forrcst cyanide process, and tho necessary plans arc being prepared. Tarwork",1,cyanid
myb158011,1893,South African Mineral Association Limited,of the Trust Company all flotation in South Africa of which they have control,roodepoort,27.90147,-26.12014,NA,NA,NA,south africa,South African Mineral Association Limited,60797.67,flotation,of the Trust Company all flotation in South Africa of which they have control,1,flotatio
myb158431,1893,Standard Gold Mining Company,quently differences arose between the parties as to the terms of the sale and flotation of the,johannesburg,28.04731,-26.2041,NA,NA,NA,south africa,Standard Gold Mining Company,NA,flotation,quently differences arose between the parties as to the terms of the sale and flotation of the,1,flotatio
myb146629,1893,Tasmanian Ore Concentration Works,TASMA.NIAN OKE CONCENTRATION WORKS,colemau street b,-78.45943,38.03795,NA,NA,NA,united states of america,Tasmanian Ore Concentration Works,NA,gravity,TASMA.NIAN OKE CONCENTRATION WORKS,1,concentratio
myb146623,1893,Tasmanian Properties Limited,"TASMANIAN ORE CONCENTRATION WORKS,",colemau street b,-78.45943,38.03795,NA,NA,NA,united states of america,Tasmanian Properties Limited,NA,gravity,"TASMANIAN ORE CONCENTRATION WORKS,",NA,concentratio
myb159052,1893,Transvaal Mines Acquisition Syndicate,company to treat its ores and large stock of tailings by the cyanide process. On the two home,transvaal,-81.1831,43.23256,NA,NA,NA,canada,Transvaal Mines Acquisition Syndicate,NA,cyanid,company to treat its ores and large stock of tailings by the cyanide process. On the two home,1,cyanid
myb159914,1893,Virginia Transvaal Gold Mining And,"by the McArthur-Forrest Cyanide process has been December, 1892 shipped.",alexandria,-77.04692,38.80484,NA,NA,NA,united states of america,Virginia Transvaal Gold Mining And,321011.7,cyanid,"by the McArthur-Forrest Cyanide process has been December,1892 shipped.",1,arthur-forrest
myb161889,1894,Australian Gold Recovery Company,"Forrest Cyanide Process , for extracting gold from refractory and other ores, and",wales,-3.783712,52.13066,NA,NA,NA,united kingdom,Australian Gold Recovery Company,NA,cyanid,"Forrest Cyanide Process , for extracting gold from refractory and other ores, and",1,cyanid
myb180477,1894,Barrett Gold Mining Company,"A 30-stamp mill is at work, and a cyanide plant is being erected for treatment",transvaal,-81.1831,43.23256,NA,NA,NA,canada,Barrett Gold Mining Company,NA,cyanid,"A 30-stamp mill is at work, and a cyanide plant is being erected for treatment",1,cyanid
myb164468,1894,Cassel Gold Extracting Company,"the MacArthur Forrest process, and certain cyanide patents.",united states,-95.71289,37.09024,NA,NA,NA,united states of america,Cassel Gold Extracting Company,419512.2,cyanid,"the MacArthur Forrest process, and certain cyanide patents.",1,arthur forrest
myb181307,1894,Central Gold Mining Company,"cyanide works on your property, and for permission to construct a large dam on your valuablo",the farms driefontein and,28.03642,-26.08984,NA,NA,NA,south africa,Central Gold Mining Company,1219512,cyanid,"cyanide works on your property, and for permission to construct a large dam on your valuablo",NA,cyanid
