year,company,loc,lon,lat,technology,capital,mult,n,dist,exp,expuni,expassoc,expprof,nexpuni,nexpassoc,nexpprof,univ_eigen,univ_ndegree,univ_degree,univ_close,univ_harm,univ_between,assoc_eigen,assoc_ndegree,assoc_degree,assoc_close,assoc_harm,assoc_between,prof_eigen,prof_ndegree,prof_degree,prof_close,prof_harm,prof_between,tech_eigen,tech_ndegree,tech_degree,tech_close,tech_harm,tech_between,country,tipo,code,empire,commonw,v2x_corr,v2xcl_prpty,statecap_baseline,statecap_base_fiscal,statecap_base_fiscal_edu,c_base,c_fiscal,c_comp,v2svstterr,v2stfisccap,v2x_rule
1911,Abbassi Wassau Gold Mines Limited,london,-0.1277583,51.5073509,cyanid,2.436647,1,8,1.0013217677085525e-4,2,1,1,1,0,0,0,0.018423197931115524,0.013157894736842105,1,0.25524475524475526,0.26688596491228067,0,0.2253126058546354,0.03333333333333333,3,0.44554455445544555,0.4814814814814815,0.0039253487134000694,0.21532179121364536,0.03361344537815126,4,0.39403973509933776,0.44047619047619074,0.0036440379991444357,0.018899630439489282,0.022900763358778626,6,0.2903225806451613,0.2712468193384234,0.0014488030252192542,united kingdom,extraction,GBR,1,1,0.028,0.73,2,2,2,2,2,2,98,3,1
1921,Abbontiakoon Wassau Mines Limited,london,-0.1277583,51.50735,cyanid,3.079292,0,8,0,4,3,2,2,0,0,0,0.19321583983762564,0.06382978723404255,3,0.3435114503816794,0.39255319148936174,0.03582255597274371,0.38782139164565665,0.0784313725490196,4,0.5204081632653061,0.5392156862745098,0.03255060918718952,0.4335752263390292,0.10294117647058823,7,0.4722222222222222,0.5183823529411766,0.051310303669243,0.049124184234607265,0.03504043126684636,13,0.33055555555555555,0.3536388140161706,0.028853427902188446,united kingdom,extraction,GBR,1,1,0.028,0.73,2,2,1,2,2,1,89,3,1
1908,African And General Exploration Limited,valley,-94.64745,36.83507,amalgama,7.29927,1,3,99.01792617439946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.117,0.581,1,1,1,1,1,1,98,1,1
1895,African Gold Recovery Company,johannesburg,28.04731,-26.2041,cyanid,0.5974927,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,south africa,extraction,ZAF,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,African Gold Recovery Company,johannesburg,28.04731,-26.2041,cyanid,1.215953,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017873993574445798,0.023696682464454975,5,0.2998324958123953,0.2944482058226141,0.002015190311093463,south africa,extraction,ZAF,1,1,0.408,0.115,-1,-2,-3,-1,-2,-3,82,-2,0
1921,Akoko Main Reef Limited,london,-0.1277583,51.50735,cyanid,0.1539646,0,4,0,3,1,2,1,0,1,0,0.3400624786602788,0.10638297872340426,5,0.42857142857142855,0.47340425531914876,0.16851947517997468,0.38782139164565665,0.0784313725490196,4,0.5204081632653061,0.5392156862745098,0.03255060918718952,0.4887675833712358,0.1323529411764706,9,0.4927536231884058,0.5416666666666669,0.13537852221985386,0.03015206246091397,0.0431266846361186,16,0.3472762645914397,0.3696316262353975,0.0569283889750958,united kingdom,extraction,GBR,1,1,0.028,0.73,2,2,1,2,2,1,89,3,1
1923,Akoko Main Reef Limited,alaska,-149.4937,64.20084,cyanid,0.1829826,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04301499112986229,0.05291005291005291,20,0.37960042060988436,0.40480599647266263,0.02486741721573486,united states of america,extraction,USA,0,0,0.096,0.581,1,2,1,1,2,1,98,3,1
1919,Akoko Math Reef,london,-0.1277583,51.5073509,cyanid,0.1770695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united kingdom,extraction,GBR,1,1,0.028,0.73,2,2,1,2,2,1,89,3,1
1914,Alaska Mecha Mining Company,alaska,-149.4936733,64.2008413,cyanid,4.930966,1,4,0,3,1,3,1,0,0,0,0.18714380158545021,0.015873015873015872,1,0.32786885245901637,0.3542328042328043,0,0.15380338697736776,0.027777777777777776,2,0.4,0.4467592592592592,0.002687410423084053,0.195887269882537,0.03296703296703297,3,0.3991228070175439,0.44322344322344354,0.004501625873914125,2.8327523367466215e-17,0.016666666666666666,6,0.8,0.009722222222222222,7.737542556484061e-6,united states of america,extraction,USA,0,0,0.079,0.581,1,2,1,1,2,1,98,3,1
1913,Alaska Mexican Gold Mining Company,alaska,-149.4936733,64.2008413,cyanid,4.868549,1,5,2352.3449498783734,0,0,0,0,1,2,1,0.19784087033191036,0.017241379310344827,1,0.3706896551724138,0.30890804597701155,0,0.14456994114526653,0.02531645569620253,2,0.3910891089108911,0.43881856540084385,0.009311611480514261,0.20555911238612676,0.030612244897959183,3,0.40611353711790393,0.4268707482993199,0.00891896538135739,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.083,0.581,1,2,1,1,2,1,98,3,1
1915,Alaska Mexican Gold Mining Company,alaska,-149.4936733,64.2008413,cyanid,4.868549,1,5,0,4,1,3,1,0,0,0,0.17900057808161823,0.016129032258064516,1,0.3375,0.331989247311828,0,0.23537769416631812,0.036585365853658534,3,0.4659090909090909,0.49491869918699194,0.008450467270806433,0.2715052276892144,0.04081632653061224,4,0.44036697247706424,0.46768707482993216,0.006317398424768313,6.538462839339686e-17,0.028409090909090908,10,1,0.011363636363636364,1.780626780626781e-5,united states of america,extraction,USA,0,0,0.07,0.581,1,2,1,1,2,1,98,3,1
1916,Alaska Mexican Gold Mining Company,alaska,-149.4936733,64.2008413,cyanid,4.868549,1,3,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0.3417293921372805,0.05172413793103448,3,0.46774193548387094,0.5014367816091954,0.02928582851316676,0.34924396483431247,0.04,3,0.4166666666666667,0.45777777777777756,0.01664616703080194,0,0.021148036253776436,7,1,0.00906344410876133,9.154994049253868e-6,united states of america,extraction,USA,0,0,0.07,0.581,1,2,1,1,2,1,98,3,1
1917,Alaska Mexican Gold Mining Company,alaska,-149.4936733,64.2008413,cyanid,4.868549,1,6,0,6,1,3,1,0,0,0,0.2202748666579428,0.027777777777777776,1,0.3018867924528302,0.323611111111111,0,0.3372650638768489,0.06521739130434782,3,0.45098039215686275,0.4963768115942029,0.01788638011771543,0.398887629266151,0.06557377049180328,4,0.41216216216216217,0.465846994535519,0.016535618007113107,4.154954170631315e-7,0.041666666666666664,14,0.1747945205479452,0.17997685185185114,0.01689765458422175,united states of america,extraction,USA,0,0,0.07,0.581,1,2,1,1,2,1,98,3,1
1921,Alaska Mexican Gold Mining Company,alaska,-149.4937,64.20084,cyanid,4.868549,1,2,0.001305163006854708,2,0,1,0,0,0,0,0,0,0,0,0,0,0.08091713249657767,0.0196078431372549,1,0.34459459459459457,0.39215686274509803,0,0.07800183961556491,0.014705882352941176,1,0.3300970873786408,0.3693627450980392,0,8.411136791759638e-5,0.016172506738544475,6,0.2061200923787529,0.2093056090360691,0,united states of america,extraction,USA,0,0,0.095,0.581,1,2,1,1,2,1,98,3,1
1922,Alaska Mexican Gold Mining Company,alaska,-149.4937,64.20084,cyanid,4.868549,1,5,0,4,1,3,1,0,0,0,0.22177456628148337,0.02564102564102564,1,0.31896551724137934,0.3572649572649573,0,0.24230599175818893,0.043478260869565216,2,0.46938775510204084,0.4981884057971014,0.008183089475995655,0.29450223855179913,0.04838709677419355,3,0.43356643356643354,0.47177419354838684,0.009062734979139507,5.4841827041104805e-18,0.04395604395604396,16,1,0.013736263736263738,1.1730693548875367e-4,united states of america,extraction,USA,0,0,0.094,0.581,1,2,1,1,2,1,98,3,1
1923,Alaska Mexican Gold Mining Company,alaska,-149.4937,64.20084,cyanid,4.868549,1,5,0,4,1,2,1,0,0,0,0.20087660032654653,0.021739130434782608,1,0.3359375,0.36449275362318845,0,0.2408804085189506,0.05,2,0.46511627906976744,0.4979166666666666,0.004495648686825158,0.3036925924974237,0.05357142857142857,3,0.40875912408759124,0.4574404761904759,0.003353195528972565,2.0381274866350746e-4,0.04497354497354497,17,0.2327530625402966,0.24006676744772093,8.062835834684624e-4,united states of america,extraction,USA,0,0,0.096,0.581,1,2,1,1,2,1,98,3,1
