year,company,technology,capital,mult,n,dist,exp,expuni,expassoc,expprof,nexpuni,nexpassoc,nexpprof,univ_eigen,univ_ndegree,univ_degree,univ_close,univ_harm,univ_between,assoc_eigen,assoc_ndegree,assoc_degree,assoc_close,assoc_harm,assoc_between,prof_eigen,prof_ndegree,prof_degree,prof_close,prof_harm,prof_between,tech_eigen,tech_ndegree,tech_degree,tech_close,tech_harm,tech_between,country,tipo,code,empire,commonw,v2x_corr,v2xcl_prpty,statecap_baseline,statecap_base_fiscal,statecap_base_fiscal_edu,c_base,c_fiscal,c_comp,v2svstterr,v2stfisccap,v2x_rule,proportion,adoptionrate,totalp,prob_adoption,district
1916,African City Properties Trust Limited,gravity,2.859867,1,10,9039.553797019556,2,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.4844849158765035,0.1,3,0.3614457831325301,0.43444444444444463,0.01212822064001737,1,0.6,3,1,0.6000000000000001,0.3,south africa,concentration,ZAF,1,1,0.408,0.115,-1,-1,-1,-1,-1,-1,84,2,0,0.6729574267806794,0.612559678351326,10,0,0
1914,African Farms Limited Cmihiigi Calg,gravity,2.95858,1,7,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.5689314840906481,0.16,4,0.4339622641509434,0.4733333333333335,0.16740593611181848,0,0,0,0,0,0,united kingdom,concentration,GBR,1,1,0.028,0.73,2,2,2,2,2,2,98,3,1,0.5584463682805634,0.4961724216532594,7,0,1
1915,African Farms Limited Cmihiigi Calg,gravity,2.854424,1,5,9039.553797019556,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.20715477652121295,0.07407407407407407,2,0.36231884057971014,0.3858024691358024,0.06837606837606838,0,0,0,0,0,0,south africa,concentration,ZAF,1,1,0.408,0.115,-1,-1,-1,-1,-1,-1,84,2,0,0.612559678351326,0.5584463682805634,5,0,0
1917,African Farms Limited Cmihiigi Calg,gravity,2.858504,1,4,6767.261542923548,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.29978001516814806,0.09523809523809525,2,0.391304347826087,0.39285714285714274,0.01495217745217745,0,0,0,0,0,0,south africa,concentration,ZAF,1,1,0.408,0.115,-1,-1,-1,-1,-1,-1,84,2,0,0.7117941939404383,0.6729574267806794,4,0,0
1919,African Farms Limited Cmihiigi Calg,gravity,2.877379,1,4,6767.261472807411,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.333490375650326,0.05128205128205128,2,0.38235294117647056,0.4294871794871797,0.01121544557167237,0,0,0,0,0,0,south africa,concentration,ZAF,1,1,0.408,0.115,-1,-1,-1,-1,-1,-1,84,2,0,0.728018024898714,0.7345959005799281,4,0,0
1913,African Jgrmg Limited,gravity,3.164557,1,3,2.8333329557698393e-4,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.14277371228136565,0.04166666666666666,1,0.29333333333333333,0.32152777777777775,0,0,0,0,0,0,0,canada,concentration,CAN,0,1,0.072,0.61,2,1,1,2,1,1,96,0,1,0.4961724216532594,0.4177028241580394,3,0,1
1908,African Ore Concentration Syndicate Limited,gravity,0.05842258999999999,1,3,Inf,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,concentration,USA,0,0,0.117,0.581,1,1,1,1,1,1,98,1,1,0.23543127838663735,0.24968124882869647,3,0,0
1909,African Ore Concentration Syndicate Limited,gravity,0.05842258999999999,1,4,1480.410829771452,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,concentration,USA,0,0,0.117,0.581,1,1,1,1,1,1,98,1,1,0.2506939068183431,0.23543127838663735,4,0,0
1910,African Ore Concentration Syndicate Limited,gravity,0.05842258999999999,1,4,1480.410829771452,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.04211422049020755,0.0625,1,0.21621621621621623,0.27827380952380965,0,0,0,0,0,0,0,united states of america,concentration,USA,0,0,0.098,0.581,1,2,1,1,2,1,98,3,1,0.299212952764201,0.2506939068183431,4,0,0
1913,African Ore Concentration Syndicate Limited,gravity,0.05842258999999999,1,3,114.02579872678434,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,concentration,USA,0,0,0.083,0.581,1,2,1,1,2,1,98,3,1,0.4961724216532594,0.4177028241580394,3,0,0
