year,company,loc,lon,lat,technology,mult,n,dist,exp,expuni,expassoc,expprof,nexpuni,nexpassoc,nexpprof,univ_eigen,univ_ndegree,univ_degree,univ_close,univ_harm,univ_between,assoc_eigen,assoc_ndegree,assoc_degree,assoc_close,assoc_harm,assoc_between,prof_eigen,prof_ndegree,prof_degree,prof_close,prof_harm,prof_between,tech_eigen,tech_ndegree,tech_degree,tech_close,tech_harm,tech_between,country,tipo,code,empire,commonw,v2x_corr,v2xcl_prpty,statecap_baseline,statecap_base_fiscal,statecap_base_fiscal_edu,c_base,c_fiscal,c_comp,v2svstterr,v2stfisccap,v2x_rule
1911,Abbassi Wassau Gold Mines Limited,london,-0.1277583,51.5073509,cyanid,1,8,1.0013217677085525e-4,2,1,1,1,0,0,0,0.018423197931115524,0.013157894736842105,1,0.25524475524475526,0.26688596491228067,0,0.2253126058546354,0.03333333333333333,3,0.44554455445544555,0.4814814814814815,0.0039253487134000694,0.21532179121364523,0.03361344537815126,4,0.39403973509933776,0.44047619047619074,0.0036440379991444357,0.018899630439489307,0.022900763358778626,6,0.2903225806451613,0.2712468193384234,0.0014488030252192542,united kingdom,extraction,GBR,1,1,0.028,0.73,2,2,2,2,2,2,98,3,1
1921,Abbontiakoon Wassau Mines Limited,london,-0.1277583,51.50735,cyanid,0,8,0,4,3,2,2,0,0,0,0.19321583983762564,0.06382978723404255,3,0.3435114503816794,0.39255319148936174,0.03582255597274371,0.38782139164565665,0.0784313725490196,4,0.5204081632653061,0.5392156862745098,0.03255060918718952,0.433575226339029,0.10294117647058823,7,0.4722222222222222,0.5183823529411766,0.051310303669243,0.04912418423460723,0.03504043126684636,13,0.33055555555555555,0.3536388140161706,0.028853427902188446,united kingdom,extraction,GBR,1,1,0.028,0.73,2,2,1,2,2,1,89,3,1
1911,Abosso Gold Mining Company,transvaal,-81.1830974,43.2325617,cyanid,1,3,2.8333329557698393e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,canada,extraction,CAN,0,1,0.072,0.61,2,1,1,2,1,1,96,0,1
1912,Abosso Gold Mining Company,transvaal,-81.1830974,43.2325617,cyanid,1,7,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0.0926840370505694,0.012048192771084338,1,0.3878504672897196,0.4307228915662651,0,0.0871125223773843,0.00909090909090909,1,0.3588039867109635,0.39166666666666666,0,0.00349133219786769,0.022364217252396165,7,0.23238866396761135,0.25542900479002784,0.01463269818150122,canada,extraction,CAN,0,1,0.072,0.61,2,1,1,2,1,1,96,0,1
1913,Abosso Gold Mining Company,transvaal,-81.1830974,43.2325617,cyanid,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.974056989005204e-5,0.009433962264150943,3,0.1694021101992966,0.1742609853458908,0.011388211019185366,canada,extraction,CAN,0,1,0.072,0.61,2,1,1,2,1,1,96,0,1
1914,Abosso Gold Mining Company,transvaal,-81.1830974,43.2325617,cyanid,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2706982105814684e-4,0.008333333333333333,3,0.19642857142857142,0.18084435626102363,0,canada,extraction,CAN,0,1,0.067,0.61,2,1,1,2,1,1,96,0,1
1915,Abosso Gold Mining Company,transvaal,-81.1830974,43.2325617,cyanid,1,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.1017941914236823,0.012195121951219513,1,0.36936936936936937,0.41463414634146345,0,0.09422722124891848,0.01020408163265306,1,0.35555555555555557,0.3897959183673468,0,0.0012357124661322896,0.028409090909090908,10,0.2644151565074135,0.26891233766233846,0.0023691795065161167,canada,extraction,CAN,0,1,0.067,0.61,2,2,1,2,2,1,98,0,1
1916,Abosso Gold Mining Company,transvaal,-81.1830974,43.2325617,cyanid,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0955178286238658e-4,0.01812688821752266,6,0.23503325942350334,0.24632426988922546,3.685468406698841e-4,canada,extraction,CAN,0,1,0.067,0.61,2,2,1,2,2,1,98,0,1
1917,Abosso Gold Mining Company,transvaal,-81.1830974,43.2325617,cyanid,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002976190476190476,1,1,0.002976190476190476,0,canada,extraction,CAN,0,1,0.067,0.61,2,2,1,2,2,1,98,0,1
1919,Abosso Gold Mining Company,transvaal,-81.1830974,43.2325617,cyanid,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.801533433565146e-4,0.011235955056179775,4,0.23233695652173914,0.23685125735687643,0,canada,extraction,CAN,0,1,0.067,0.631,2,2,1,2,2,1,98,0,1
