year,loess_cat,loess_emj,loess_tot
1884,5.695672879751193e-4,0.06202159677201524,0.07886572880732157
1886,0,0.0581603275655183,0.04224287182720349
1887,0,0.05705242727011545,0.029547906214263227
1888,0,0.05657907005962445,0.019621054991585566
1889,0,0.05770128183062298,0.014336409795832072
1891,0,0.057328839797867334,0.015520741898370202
1893,0,0.07612205782743842,0.037403942257494674
1894,3.3977777925835694e-4,0.10188961562504356,0.06079233442457083
1895,0.008387841041299344,0.14849303899498165,0.10661302375275658
1896,0.019213987032973702,0.20050424355499447,0.16793334326286258
1897,0.034421242820697154,0.2597408332145678,0.24626213538331215
1898,0.052062580021201996,0.31373767205806613,0.3018700440900056
1899,0.07227213080621905,0.34723236244095473,0.32128272708974426
1900,0.09461648166489434,0.3373750835241254,0.32677871297504063
1901,0.11293479956123784,0.31585778736145925,0.3067551692119517
1902,0.11891084843691613,0.29020843555205195,0.2799278632830224
1903,0.11699018221786579,0.26715741040013546,0.26118272078967675
1904,0.09148483204899291,0.27957820428555263,0.25129471181835444
1905,0.06893248406669442,0.30078488485779264,0.2480311070836444
1906,0.07077855282568829,0.31860915867846124,0.24733093694331204
1907,0.08169007451322938,0.33931409407598523,0.24968124882869647
1908,0.10946160419706595,0.3465141957118031,0.23543127838663735
1909,0.15301035049884162,0.3673325696526028,0.2506939068183431
1910,0.20249333445671924,0.402839768455312,0.299212952764201
1911,0.24016222378088387,0.47845921354785603,0.35310155792980513
1912,0.2755709667773829,0.5665898024404198,0.4177028241580394
1913,0.31343542666629365,0.666967369746906,0.4961724216532594
1914,0.35287368685224624,0.7608071812165758,0.5584463682805634
1915,0.39011450433112627,0.8427096568424215,0.612559678351326
1916,0.42387550619952163,0.8847660163676436,0.6729574267806794
1917,0.45369388093112717,0.9079390114950172,0.7117941939404383
1918,0.4815908630708116,0.9059689898413196,0.7345959005799281
1919,0.4926514412429008,0.9020344666951331,0.728018024898714
1920,0.5002217795271556,0.8912574783424365,0.7141391340795604
1921,0.511484968705354,0.8800310680782788,0.7024037803464414
1922,0.5240022268221093,0.8675377307450391,0.688849549299898
1923,0.5396118913337101,0.8556497734970604,0.672542104491856
1926,0.5935262310063693,0.8107035268321108,0.6027047072139508
